id,display,school,effect_type,element,realm_min,spirit_cost,status,skill_type
vajra_body,金刚诀,body,,,FOUNDATION,,wired,
iron_skin,铁肤术,body,,,FOUNDATION,,wired,
dragon_strength,龙力诀,body,,,FOUNDATION,,wired,
palm_wind,掌风,body,,,FOUNDATION,,wired,
body_flash,身闪,body,,,FOUNDATION,,wired,
bone_crush,碎骨拳,body,,,FOUNDATION,,wired,
qi_burst_palm,气爆掌,body,,,FOUNDATION,,wired,
body_hardness,金刚不坏,body,,,CORE_FORMATION,,wired,
barbarian_roar,蛮荒咆哮,body,,,VOID_REFINING,,wired,
tianmo_blood_armor,天魔血甲,body,,,FOUNDATION,,wired,
buddha_light,佛光,buddhist,,,FOUNDATION,,wired,
sarira_shield,舍利护体,buddhist,,,FOUNDATION,,wired,
demon_subdue_palm,降魔掌,buddhist,,,FOUNDATION,,wired,
zen_pulse,禅波,buddhist,,,FOUNDATION,,wired,
vajra_palm,金刚掌,buddhist,,,FOUNDATION,,wired,
dajin_buddhist_vajra,大晋金刚杵,buddhist,,,FOUNDATION,,wired,
righteous_qi,浩然正气,confucian,,,FOUNDATION,,wired,
word_suppress,言镇,confucian,,,FOUNDATION,,wired,
scroll_strike,书卷击,confucian,,,FOUNDATION,,wired,
ink_sea,墨海,confucian,,,FOUNDATION,,wired,
confucian_righteous_qi,浩然正气,confucian,,,FOUNDATION,,wired,
five_thunder,五雷正法,dao,,,QI_REFINING,,wired,
pure_yang_sword,纯阳剑气,dao,,,QI_REFINING,,wired,
taoist_seal,道家法印,dao,,,QI_REFINING,,wired,
cloud_walk,云游步,dao,,,QI_REFINING,,wired,
immortal_rope,捆仙绳术,dao,,,QI_REFINING,,wired,
bagua_seal,八卦印,dao,,,QI_REFINING,,wired,
dao_nature_breath,自然吐纳,dao,,,QI_REFINING,,wired,
demon_flame,魔焰术,demonic,,,FOUNDATION,,wired,
soul_devour,摄魂术,demonic,,,FOUNDATION,,wired,
blood_sacrifice,血祭,demonic,,,FOUNDATION,,wired,
demon_form,魔化,demonic,,,FOUNDATION,,wired,
demon_contract,魔契,demonic,,,FOUNDATION,,wired,
demon_armor,魔甲,demonic,,,FOUNDATION,,wired,
fox_phantom_shift,狐影幻形,demonic,,,FOUNDATION,,wired,
blood_curse_mark,血咒印,demonic,,,CORE_FORMATION,,wired,
hehuan_charm,媚惑术,demonic,,,FOUNDATION,,wired,
blood_curse_strike,血咒击,demonic,,,FOUNDATION,,wired,
poison_mist,毒雾术,demonic,,,FOUNDATION,,wired,
demon_claw,魔爪,demonic,,,FOUNDATION,,wired,
hehuan_soul_charm,合欢迷心,demonic,,,FOUNDATION,,wired,
qingluo_poison_needle,青罗毒针,demonic,,,FOUNDATION,,wired,
xuewu_blood_curse_mark,血巫咒印,demonic,,,FOUNDATION,,wired,
blood_demon_slash,血魔斩,demonic,,,CORE_FORMATION,,wired,
heaven_demon_hand,天魔手,demon_path,,,CORE_FORMATION,,wired,
demon_qi_burst,魔气爆,demon_path,,,CORE_FORMATION,,wired,
soul_contract,魂契,demon_path,,,CORE_FORMATION,,wired,
demon_soul_devour,魔噬魂,demon_path,,,CORE_FORMATION,,wired,
sense_scan,神识扫描,divine_sense,,,QI_REFINING,,wired,
sense_pressure,神识压,divine_sense,,,QI_REFINING,,wired,
sense_needle,神念针,divine_sense,,,QI_REFINING,,wired,
sense_domain,神识域,divine_sense,,,QI_REFINING,,wired,
mind_read,读心,divine_sense,,,QI_REFINING,,wired,
sense_lock,神识锁,divine_sense,,,QI_REFINING,,wired,
divine_sense_scan,神识探查,divine_sense,,,FOUNDATION,,wired,
divine_sense_lock,神识锁敌,divine_sense,,,CORE_FORMATION,,wired,
soul_attack_wave,神魂冲击,divine_sense,,,CORE_FORMATION,,wired,
soul_cry_shock,啼魂尖啸,divine_sense,,,CORE_FORMATION,,wired,
fireball,火弹术,elemental,,,QI_REFINING,,wired,
water_arrow,水箭术,elemental,,,QI_REFINING,,wired,
earth_spike,土刺术,elemental,,,QI_REFINING,,wired,
wood_bind,藤缚术,elemental,,,QI_REFINING,,wired,
metal_needle,金针术,elemental,,,QI_REFINING,,wired,
ice_shard,冰锥术,elemental,,,QI_REFINING,,wired,
wind_blade,风刃术,elemental,,,QI_REFINING,,wired,
thunder_palm,雷击掌,elemental,,,QI_REFINING,,wired,
flame_ring,火环术,elemental,,,QI_REFINING,,wired,
frost_armor,寒冰护体,elemental,,,QI_REFINING,,wired,
lava_burst,熔岩爆,elemental,,,QI_REFINING,,wired,
mist_rain,雾雨术,elemental,,,QI_REFINING,,wired,
sand_storm,沙暴术,elemental,,,QI_REFINING,,wired,
vine_arrow,木箭术,elemental,,,QI_REFINING,,wired,
gold_beam,金芒术,elemental,,,QI_REFINING,,wired,
blizzard,暴雪术,elemental,,,QI_REFINING,,wired,
cyclone,旋风术,elemental,,,QI_REFINING,,wired,
chain_lightning,连锁雷,elemental,,,QI_REFINING,,wired,
dark_flame,暗焰术,elemental,,,QI_REFINING,,wired,
light_orb,光球术,elemental,,,QI_REFINING,,wired,
steam_cloud,蒸汽云,elemental,,,QI_REFINING,,wired,
