id,display,category,threat,tier_hint,habitat,tameable,source_file,description_short
mo_jiao,墨蛟,yaoshou,4,5,血色禁地水域/巢穴,False,bestiary_compendium_v95.json,
xue_yu_zhizhu,血玉蜘蛛,lingshou,3,"[5, 8]","战场遗迹,古洞,培养于洞府",True,bestiary_compendium_v95.json,
yin_se_feichong,银色飞虫,chong,3,"[3, 5]",血色禁地,False,bestiary_compendium_v95.json,
shi_jin_chong,噬金虫,chong,5,"[1, 13]","乱星海偶得,洞府培育",True,bestiary_compendium_v95.json,
ti_hun_shou,啼魂兽,lingshou,5,special_growth,"契约随主,阴冥之地成长",True,bestiary_compendium_v95.json,
ying_li_shou,婴鲤兽,yaoshou,3,"[6, 7]",乱星海,False,bestiary_compendium_v95.json,
du_jiao_t8,八级毒蛟,yaoshou,5,8,乱星海荒岛/海外,False,bestiary_compendium_v95.json,
feng_xi,风希（九级妖兽）,yaoshou,5,9,乱星海外,False,bestiary_compendium_v95.json,
gui_yao_huaxing,龟妖（化形）,yaoshou,4,"[8, 9]",乱星海,,bestiary_compendium_v95.json,
jin_jiao_wang,金蛟王,yaoshou,6,11,乱星海极品灵石矿周边,,bestiary_compendium_v95.json,
tian_lan_shou,天澜圣兽,lingshou,6,special,"天澜草原信仰,契约后随缘",True,bestiary_compendium_v95.json,
tu_jia_long,土甲龙,lingshou,2,"[5, 8]","秘境,随主寻宝",True,bestiary_compendium_v95.json,
liu_yi_shuang_gong,六翼霜蚣,chong,4,"[6, 12]","御灵宗线,洞府,灵界可能失控",True,bestiary_compendium_v95.json,
si_xiao,尸魈,shi_gui,5,NASCENT_special,"阴地,古战场,雪云狐追踪线",False,bestiary_compendium_v95.json,
yinchi_yecha,银翅夜叉,shi_gui,6,10,"阴阳窟,重阴之地",False,bestiary_compendium_v95.json,
yin_zhi_ma,阴芝马,yaoshou,2,special,阴阳窟,False,bestiary_compendium_v95.json,
nie_yuan,孽猿,shi_gui,4,"[6, 8]",重阴之地,,bestiary_compendium_v95.json,
si_tong_ling_hu,四瞳灵狐,lingshou,3,"[5, 9]",,True,bestiary_compendium_v95.json,
hao_yang_niao,昊阳鸟,lingshou,4,"[7, 10]",岳阳宫传承,faction_only,bestiary_compendium_v95.json,
wu_feng,乌凤,yaoshou,5,"[8, 11]",苦竹岛等相关,,bestiary_compendium_v95.json,
zhi_mu_lingying,至木灵婴,plant_spirit,5,NASCENT_special,御灵宗禁制逃脱后游荡,,bestiary_compendium_v95.json,
xue_yan_gumo,血焰（古魔）,gu_mo,7,NASCENT_plus,"坠魔谷封印,出谷后游荡/大晋",,bestiary_compendium_v95.json,
huo_chan_shou,火蟾兽,yaoshou,4,"[8, 10]",坠魔谷,,bestiary_compendium_v95.json,
mang_shou_zhuimo,坠魔蟒兽,yaoshou,4,"[8, 10]",坠魔谷,,bestiary_compendium_v95.json,
bing_feng,冰凤,zhenling_bloodline,7,DEITY_to_GREAT,,,bestiary_compendium_v95.json,
lei_peng,雷鹏（骨骸/真灵遗）,zhenling,8,13,,,bestiary_compendium_v95.json,
you_tian_kunpeng,游天鲲鹏,zhenling,9,13,外星海可见与罗睺交战,,bestiary_compendium_v95.json,
luo_hou,罗睺,zhenling,9,13,,,bestiary_compendium_v95.json,
bao_lin_shou,豹麟兽,lingshou,5,"[10, 13]","灵界,地渊阴寒成长",True,bestiary_compendium_v95.json,
zhen_chan,真蟾兽,yaoshou,6,12,灵界,,bestiary_compendium_v95.json,
ming_lei_shou,冥雷兽,yaoshou,6,12,地渊周边,,bestiary_compendium_v95.json,
mo_yuan_heti,合体级魔猿,yaoshou,8,13,魔金山脉,,bestiary_compendium_v95.json,
zhi_xian,芝仙,plant_spirit,3,special,,capture,bestiary_compendium_v95.json,
