kind,id,display,extra,source_file
artifacts,bedrock_shield,磐石盾,mid,artifacts_catalog.json
artifacts,black_boots,乌靴,mid,artifacts_catalog.json
artifacts,cloud_boots,踏云靴,low,artifacts_catalog.json
artifacts,demon_refining_pot,炼妖壶（仿）,ancient_treasure,artifacts_catalog.json
artifacts,evil_illusion_mirror,邪幻镜,mid,artifacts_catalog.json
artifacts,flat_crown,平山冠,mid,artifacts_catalog.json
artifacts,flat_crown_replica,平山冠（仿）,mid,artifacts_catalog.json
artifacts,flying_sword_low,低阶飞剑,low,artifacts_catalog.json
artifacts,giant_ape_puppet_token,巨猿傀儡符,low,artifacts_catalog.json
artifacts,giant_turtle_puppet_core,巨龟傀儡核心,mid,artifacts_catalog.json
artifacts,gold_demon_chain,金蚨子母刃,high,artifacts_catalog.json
artifacts,great_shift_token,大挪移令,high,artifacts_catalog.json
artifacts,green_bamboo_cloud_sword,青竹灵云剑（仿）,high,artifacts_catalog.json
artifacts,hunyuan_bowl,混元钵,high,artifacts_catalog.json
artifacts,nascent_soul_talisman_treasure,元婴符宝（模板）,high,artifacts_catalog.json
artifacts,peerless_flying_knives,无双飞刀,high,artifacts_catalog.json
artifacts,poluo_beads,婆罗珠,mid,artifacts_catalog.json
artifacts,potian_shovel,破天锹,mid,artifacts_catalog.json
artifacts,qingning_mirror,青凝镜,mid,artifacts_catalog.json
artifacts,silver_moon_wolf,银月天狼,high,artifacts_catalog.json
artifacts,snake_pearl,蛇珠,low,artifacts_catalog.json
artifacts,soul_gathering_bowl,聚魂钵,mid,artifacts_catalog.json
artifacts,soul_summon_bell,引魂钟,mid,artifacts_catalog.json
artifacts,spirit_boat_model,灵舟模型,mid,artifacts_catalog.json
artifacts,spirit_gathering_bead,定神珠,low,artifacts_catalog.json
artifacts,void_key,虚天殿密钥,high,artifacts_catalog.json
artifacts,xuanguang_mirror,玄光镜,ancient_treasure,artifacts_catalog.json
artifacts,xuanhuang_mirror,玄黄镜,ancient_treasure,artifacts_catalog.json
artifacts,yellow_umbrella,黄罗伞,mid,artifacts_catalog.json
blocks,alchemy_furnace_g1,一品丹炉,multiblock_controller,block_items_catalog.json
blocks,alchemy_furnace_g2,二品丹炉,multiblock_controller,block_items_catalog.json
blocks,alchemy_furnace_g3,三品丹炉,multiblock_controller,block_items_catalog.json
blocks,earth_fire_alchemy_room,地火炼丹室（结构）,structure,block_items_catalog.json
blocks,kunwu_copper_ore,昆吾铜矿,ore,block_items_catalog.json
blocks,low_spirit_iron_ore,低阶灵铁矿,ore,block_items_catalog.json
blocks,puppet_assembly_bench,傀儡组装台,single_block,block_items_catalog.json
blocks,refinement_forge_g1,一品炼器台,multiblock_controller,block_items_catalog.json
blocks,refinement_forge_g3,三品炼器阵,multiblock_controller,block_items_catalog.json
blocks,spirit_gathering_array,聚灵阵基,array_block,block_items_catalog.json
blocks,spirit_herb_planter,灵草圃,crop_block,block_items_catalog.json
blocks,talisman_table,制符台,single_block,block_items_catalog.json
blocks,teleport_array_pedestal,传送阵基座,array_block,block_items_catalog.json
blocks,yin_essence_ore_block,阴元矿,ore,block_items_catalog.json
consumables,auction_invitation,拍卖请柬,quest,consumables_catalog.json
consumables,beast_meat_jerky,妖兽肉干,food,consumables_catalog.json
consumables,ferry_pass,冥河渡票,travel,consumables_catalog.json
consumables,jade_slip_blank,空白玉简,craft,consumables_catalog.json
consumables,low_spirit_stone_pouch,下品灵石袋,currency_bundle,consumables_catalog.json
consumables,nascent_soul_escape_charm,元婴遁符（一次性）,tribulation,consumables_catalog.json
consumables,paper_formula_scroll,空白纸方,craft,consumables_catalog.json
consumables,recipe_scroll_bundle,丹方礼包（随机）,loot,consumables_catalog.json
consumables,sect_identity_token,宗门令牌,quest,consumables_catalog.json
consumables,spirit_beast_feed,灵兽饵,pet,consumables_catalog.json
consumables,spirit_boat_ticket,灵舟船票,travel,consumables_catalog.json
consumables,spirit_rice_bowl,灵米粥,food,consumables_catalog.json
consumables,spirit_root_test_stone,测灵石,quest,consumables_catalog.json
consumables,spirit_sand_pouch,灵砂袋,craft,consumables_catalog.json
consumables,spirit_wine_jar,灵酒,food,consumables_catalog.json
consumables,talisman_ink_bottle,符墨,craft,consumables_catalog.json
consumables,tribulation_ward_charm,避雷符箓（一次性）,tribulation,consumables_catalog.json
consumables,yin_coffin_nail,镇尸钉,ghost_path,consumables_catalog.json
currency,alliance_merit_token,功勋令,faction,currency_items.json
currency,high_spirit_stone,上品灵石,high,currency_items.json
currency,low_spirit_stone,下品灵石,low,currency_items.json
currency,mid_spirit_stone,中品灵石,mid,currency_items.json
currency,sect_contribution_token,宗门贡献符,faction,currency_items.json
currency,spirit_stone_shard,灵石碎片,fragment,currency_items.json
currency,top_spirit_stone,极品灵石,top,currency_items.json
currency,war_contribution_token,战勋牌,faction,currency_items.json
currency,yin_stone,阴石,yin,currency_items.json
formation_items,array_blueprint_scroll,阵图残卷,,formation_items_catalog.json
formation_items,portable_defense_wall_disk,守阵盘,basic,formation_items_catalog.json
formation_items,portable_illusion_maze_flag,迷踪阵旗,basic,formation_items_catalog.json
formation_items,portable_kill_sword_disk,杀阵盘,mid,formation_items_catalog.json
formation_items,portable_spirit_gather_disk,聚灵阵盘（便携）,basic,formation_items_catalog.json
formation_items,teleport_array_core,传送阵核心,mid,formation_items_catalog.json
formation_items,thunder_array_stake,引雷阵桩,high,formation_items_catalog.json
herbs,blood_lotus,血莲,,spirit_herbs_catalog.json
herbs,demon_corruption_fungus,魔染菌,,spirit_herbs_catalog.json
herbs,dragon_blood_grass,龙血草,,spirit_herbs_catalog.json
herbs,earth_spine_root,地龙根,,spirit_herbs_catalog.json
herbs,fire_sparrow_fruit,火灵果,,spirit_herbs_catalog.json
herbs,frost_moon_flower,霜月花,,spirit_herbs_catalog.json
herbs,ghost_face_mushroom,鬼面菇,,spirit_herbs_catalog.json
herbs,ginseng_spirit,灵参,,spirit_herbs_catalog.json
herbs,kunwu_ice_lotus,昆吾冰莲,,spirit_herbs_catalog.json
herbs,nether_bone_grass,冥骨草,,spirit_herbs_catalog.json
herbs,phoenix_tail_fern,凤尾蕨,,spirit_herbs_catalog.json
herbs,purple_ganoderma,紫芝,,spirit_herbs_catalog.json
herbs,snow_lotus,雪莲花,,spirit_herbs_catalog.json
herbs,soul_moss,魂苔,,spirit_herbs_catalog.json
herbs,spirit_mushroom,灵菇,,spirit_herbs_catalog.json
herbs,star_moon_grass,星月草,,spirit_herbs_catalog.json
herbs,thunder_essence_lotus,雷莹莲,,spirit_herbs_catalog.json
herbs,void_marrow_herb,虚空髓草,,spirit_herbs_catalog.json
herbs,yellow_essence,黄精,,spirit_herbs_catalog.json
manuals,ancient_puppet_method,上古傀儡术,puppet,manuals_catalog.json
manuals,array_blueprint_scroll,阵图残卷,formation,manuals_catalog.json
manuals,dayan_solution_fragment,大衍诀残页,puppet,manuals_catalog.json
manuals,fashi_array_manual,慕兰法阵要诀,formation,manuals_catalog.json
manuals,ghost_cultivation_manual,阴灵鬼修录,cultivation_path,manuals_catalog.json
manuals,illusion_talisman_scroll,幻符要诀,talisman,manuals_catalog.json
manuals,recipe_bigu,辟谷丹方,alchemy,manuals_catalog.json
manuals,recipe_bu_tian,补天丹方,alchemy,manuals_catalog.json
manuals,recipe_calm_spirit,清虚丹方,alchemy,manuals_catalog.json
manuals,recipe_condensation,凝婴丹方,alchemy,manuals_catalog.json
manuals,recipe_foundation,筑基丹方,alchemy,manuals_catalog.json
manuals,recipe_spirit_condense,聚灵丹方,alchemy,manuals_catalog.json
manuals,refinement_manual_low,炼器入门篇,refinement,manuals_catalog.json
manuals,refinement_manual_mid,炼器真解（中篇）,refinement,manuals_catalog.json
manuals,stolen_jade_slip,失窃玉简,quest,manuals_catalog.json
materials,ancient_beast_core,上古妖核,,materials_catalog.json
materials,ancient_demon_fragment,古魔残片,,materials_catalog.json
materials,ancient_demon_seal_fragment,古魔封印残片,,materials_catalog.json
materials,beast_blood_ink,妖血墨,,materials_catalog.json
materials,beast_blood_vial,妖兽血,,materials_catalog.json
materials,beast_meat_raw,妖兽鲜肉,,materials_catalog.json
materials,beast_soul_essence,妖兽精魄,,materials_catalog.json
materials,beast_soul_essence,妖兽精魄,,materials_catalog.json
materials,blood_ginseng,血参,,materials_catalog.json
materials,boundary_marrow_grass,界河髓草,,materials_catalog.json
materials,coral_spirit_pearl,珊瑚灵珠,,materials_catalog.json
materials,coral_spirit_pearl_raw,珊瑚灵珠（原珠）,,materials_catalog.json
materials,deep_sea_cold_iron,深海寒铁,,materials_catalog.json
materials,demon_core_fragment,妖丹碎片,,materials_catalog.json
materials,demon_core_high,高阶妖丹,,materials_catalog.json
materials,demon_core_low,低阶妖丹,,materials_catalog.json
materials,demon_core_mid,中阶妖丹,,materials_catalog.json
materials,demon_general_core,魔将魔核,,materials_catalog.json
materials,essence_herb_ink,精魄墨,,materials_catalog.json
materials,fashi_array_manual,慕兰法阵要诀,manual,materials_catalog.json
materials,fire_feather,火羽,,materials_catalog.json
materials,fire_feather,火羽,,materials_catalog.json
materials,ghost_cultivation_manual,阴灵鬼修录,manual,materials_catalog.json
materials,ghost_wood,鬼木,,materials_catalog.json
materials,gold_seam_stone,金精石,,materials_catalog.json
materials,holy_bird_plume,圣禽翎羽,,materials_catalog.json
materials,hundred_year_ice,百年寒冰,,materials_catalog.json
materials,hundred_year_ice,百年寒玉,,materials_catalog.json
materials,iron_sword_mortal,凡铁剑,,materials_catalog.json
materials,ironwood,铁木,,materials_catalog.json
materials,ironwood_log,铁木,,materials_catalog.json
materials,island_deed_gray,灰岛地契,quest,materials_catalog.json
materials,jiao_scale,蛟鳞,,materials_catalog.json
materials,kunwu_copper,昆吾灵铜,,materials_catalog.json
materials,kunwu_core_ore,昆吾山核矿,,materials_catalog.json
materials,low_spirit_iron,低阶灵铁,,materials_catalog.json
materials,mulan_spirit_sand,慕兰灵砂,,materials_catalog.json
materials,refinement_manual_low,炼器入门篇,manual,materials_catalog.json
materials,refinement_manual_mid,炼器真解（中篇）,manual,materials_catalog.json
materials,sea_soul_grass,海魂草,,materials_catalog.json
materials,sky_tiger_claw,天虎爪,,materials_catalog.json
materials,soul_gathering_stone,聚魂石,,materials_catalog.json
materials,soul_moss,定魂苔,,materials_catalog.json
materials,space_crystal,空间晶石,,materials_catalog.json
materials,spirit_plant_ink,灵草墨,,materials_catalog.json
materials,spirit_realm_gate_pass,灵界通行符,quest,materials_catalog.json
materials,spirit_realm_sand,灵界灵砂,,materials_catalog.json
materials,spirit_silk,灵蚕丝,,materials_catalog.json
materials,spirit_stone_shard,灵石碎片,,materials_catalog.json
materials,talisman_paper,符纸,,materials_catalog.json
materials,thousand_year_ganoderma,千年灵芝,,materials_catalog.json
materials,thunder_stone,雷鸣石,,materials_catalog.json
materials,tianlan_holy_feather,圣禽翎羽,,materials_catalog.json
materials,trial_merit,试炼功勋,currency,materials_catalog.json
materials,true_spirit_blood_drop,真灵血滴,,materials_catalog.json
materials,turtle_shell,龟甲,,materials_catalog.json
materials,void_marrow,虚空髓,,materials_catalog.json
materials,wind_sage_grass,风灵草,,materials_catalog.json
materials,xuanguang_mirror_shard,玄光镜残片,,materials_catalog.json
materials,xuanguang_mirror_shard,玄光镜残片,,materials_catalog.json
materials,yin_essence_ore,阴晶矿,,materials_catalog.json
pills,antidote_pill,解毒丹,recovery,pills_catalog.json
pills,beast_taming_pill,驭兽丹,special,pills_catalog.json
pills,bigu_pill,辟谷丹,special,pills_catalog.json
pills,blood_qi_pill,血气丹,special,pills_catalog.json
pills,body_tempering_pill,淬体丹,cultivation,pills_catalog.json
pills,bone_marrow_pill,洗髓丸,cultivation,pills_catalog.json
pills,bu_tian_pill,补天丹,legendary,pills_catalog.json
pills,calm_spirit_pill,清虚丹,special,pills_catalog.json
pills,condensation_pill,凝元丹,breakthrough,pills_catalog.json
pills,demon_suppress_pill,镇魔丹,special,pills_catalog.json
pills,dingyan_pill,定颜丹,special,pills_catalog.json
pills,forget_dust_pill,忘尘丹,special,pills_catalog.json
pills,foundation_pill,筑基丹,breakthrough,pills_catalog.json
pills,huiyang_true_water,回阳真水,special,pills_catalog.json
pills,huoyuan_pill,火元丹,cultivation,pills_catalog.json
pills,ice_fire_pill,冰火丹,cultivation,pills_catalog.json
pills,longevity_fruit_pill,长生丹,special,pills_catalog.json
pills,mana_shield_pill,护灵丹,recovery,pills_catalog.json
pills,marrow_extract_pill,抽髓丸,poison,pills_catalog.json
pills,marrow_repair_pill,修髓丹,recovery,pills_catalog.json
pills,nascent_soul_pill,培婴丹,breakthrough,pills_catalog.json
pills,poison_dragon_pearl,毒龙珠,poison,pills_catalog.json
pills,soul_break_pill,断魂丹,poison,pills_catalog.json
pills,soul_gathering_pill,聚魂丹,recovery,pills_catalog.json
pills,spirit_condense_pill,聚灵丹,cultivation,pills_catalog.json
pills,spirit_recovery_pill,回灵丹,recovery,pills_catalog.json
puppet_parts,ancient_puppet_method,上古傀儡术,T3,puppet_parts_catalog.json
puppet_parts,dayan_solution_fragment,大衍诀残页,T5,puppet_parts_catalog.json
puppet_parts,ironwood_frame,铁木机架,T0,puppet_parts_catalog.json
puppet_parts,puppet_core_blank,傀儡灵核（空）,T0,puppet_parts_catalog.json
puppet_parts,puppet_repair_kit,傀儡修缮包,,puppet_parts_catalog.json
puppet_parts,stone_spirit_core,石灵核心,T3,puppet_parts_catalog.json
puppet_parts,thunder_fire_orb,雷火珠,T2,puppet_parts_catalog.json
puppet_parts,turtle_plating,龟甲覆片,T2,puppet_parts_catalog.json
talisman_materials,talisman_paper,下品灵符纸,low_spirit,talisman_materials_catalog.json
talisman_materials,talisman_paper_high,上品灵符纸,high_spirit,talisman_materials_catalog.json
talisman_materials,talisman_paper_mid,中品灵符纸,mid_spirit,talisman_materials_catalog.json
talisman_materials,talisman_paper_mortal,凡符纸,mortal,talisman_materials_catalog.json
talisman_materials,yin_talisman_paper,阴符纸,low_spirit,talisman_materials_catalog.json
talismans,anti_demon_talisman,驱魔符,mid,talisman_catalog.json
talismans,beast_contract_talisman,御兽契符,mid,talisman_catalog.json
talismans,body_guard_talisman,护体符,low,talisman_catalog.json
talismans,earth_wall_talisman,土墙符,low,talisman_catalog.json
talismans,escape_heaven_talisman,遁天符,mid,talisman_catalog.json
talismans,fire_burst_talisman,爆炎符,low,talisman_catalog.json
talismans,ghost_hide_talisman,敛魂符,low,talisman_catalog.json
talismans,ice_seal_talisman,冰封符,low,talisman_catalog.json
talismans,illusion_dispel_talisman,破幻符,mid,talisman_catalog.json
